sample_name	reads	n_scaled_reads	input_name	n_input_reads	factor	scaling_group
H3K27m3_H9_Ni_pooled.hg38	13752603	20639857.253333334	IN_H9_Ni_pooled.hg38	3626996	1.500796413110546	H3K27m3_Naive
H3K27m3_H9_Ni_rep1.hg38	4914754	21281379.762681272	IN_H9_Ni_rep1.hg38	1257103	4.330100705484195	H3K27m3_Naive
H3K27m3_H9_Ni_rep2.hg38	3307970	23271848.582314264	IN_H9_Ni_rep2.hg38	773748	7.035084532905155	H3K27m3_Naive
H3K27m3_H9_Ni_rep3.hg38	5530129	18859321.588972185	IN_H9_Ni_rep3.hg38	1596166	3.4102860148420016	H3K27m3_Naive
H3K27m3_H9_Ni-EZH2i_pooled.hg38	252561	615614.2948607723	IN_H9_Ni-EZH2i_pooled.hg38	2233194	2.437487556910102	H3K27m3_Naive
H3K27m3_H9_Ni-EZH2i_rep1.hg38	75563	466961.44411476207	IN_H9_Ni-EZH2i_rep1.hg38	880840	6.179763166030492	H3K27m3_Naive
H3K27m3_H9_Ni-EZH2i_rep2.hg38	58683	958622.2409165058	IN_H9_Ni-EZH2i_rep2.hg38	333222	16.33560385318586	H3K27m3_Naive
H3K27m3_H9_Ni-EZH2i_rep3.hg38	118316	631943.848914936	IN_H9_Ni-EZH2i_rep3.hg38	1019140	5.341152920272287	H3K27m3_Naive
H3K27m3_H9_Pr_pooled.hg38	7798242	6435725.278477422	IN_H9_Pr_pooled.hg38	6595809	0.8252789896078401	H3K27m3_Naive
H3K27m3_H9_Pr_rep1.hg38	2226625	6203695.975577617	IN_H9_Pr_rep1.hg38	1953734	2.786143142908041	H3K27m3_Naive
H3K27m3_H9_Pr_rep2.hg38	3177778	6977752.1079370435	IN_H9_Pr_rep2.hg38	2479002	2.195795964330121	H3K27m3_Naive
H3K27m3_H9_Pr_rep3.hg38	2394113	6024539.513124734	IN_H9_Pr_rep3.hg38	2163165	2.516397310037051	H3K27m3_Naive
H3K27m3_H9_Pr-EZH2i_pooled.hg38	423300	1599853.2537457075	IN_H9_Pr-EZH2i_pooled.hg38	1440247	3.779478511093096	H3K27m3_Naive
H3K27m3_H9_Pr-EZH2i_rep1.hg38	144947	1489551.409901232	IN_H9_Pr-EZH2i_rep1.hg38	529691	10.27652459106592	H3K27m3_Naive
H3K27m3_H9_Pr-EZH2i_rep2.hg38	95286	1108632.507578706	IN_H9_Pr-EZH2i_rep2.hg38	467854	11.634789030693973	H3K27m3_Naive
H3K27m3_H9_Pr-EZH2i_rep3.hg38	183067	2250937.9138407265	IN_H9_Pr-EZH2i_rep3.hg38	442706	12.295705473082132	H3K27m3_Naive
H3K4m3_H9_Ni_pooled.hg38	17115021	20639857.253333334	IN_H9_Ni_pooled.hg38	3626996	1.2059498643520994	H3K4m3_Naive
H3K4m3_H9_Ni_rep1.hg38	5801107	20184423.177008953	IN_H9_Ni_rep1.hg38	1257103	3.4794088743767273	H3K4m3_Naive
H3K4m3_H9_Ni_rep2.hg38	3601476	20359040.916077938	IN_H9_Ni_rep2.hg38	773748	5.652971425070704	H3K4m3_Naive
H3K4m3_H9_Ni_rep3.hg38	7728195	21177580.720257856	IN_H9_Ni_rep3.hg38	1596166	2.740301030222174	H3K4m3_Naive
H3K4m3_H9_Ni-EZH2i_pooled.hg38	4983944	9761645.483134035	IN_H9_Ni-EZH2i_pooled.hg38	2233194	1.9586186127159606	H3K4m3_Naive
H3K4m3_H9_Ni-EZH2i_rep1.hg38	1851988	9196391.888702571	IN_H9_Ni-EZH2i_rep1.hg38	880840	4.965686542624775	H3K4m3_Naive
H3K4m3_H9_Ni-EZH2i_rep2.hg38	766517	10061539.908077136	IN_H9_Ni-EZH2i_rep2.hg38	333222	13.126310190220355	H3K4m3_Naive
H3K4m3_H9_Ni-EZH2i_rep3.hg38	2368421	10164859.621852323	IN_H9_Ni-EZH2i_rep3.hg38	1019140	4.291829713489419	H3K4m3_Naive
H3K4m3_H9_Pr_pooled.hg38	27735552	18392682.43343265	IN_H9_Pr_pooled.hg38	6595809	0.6631446323272258	H3K4m3_Naive
H3K4m3_H9_Pr_rep1.hg38	6296926	14097415.003945252	IN_H9_Pr_rep1.hg38	1953734	2.2387773024401514	H3K4m3_Naive
H3K4m3_H9_Pr_rep2.hg38	11466970	20232433.83348447	IN_H9_Pr_rep2.hg38	2479002	1.7644097641734888	H3K4m3_Naive
H3K4m3_H9_Pr_rep3.hg38	10004690	20229740.813286778	IN_H9_Pr_rep3.hg38	2163165	2.022025751251341	H3K4m3_Naive
H3K4m3_H9_Pr-EZH2i_pooled.hg38	3357390	10196265.673393913	IN_H9_Pr-EZH2i_pooled.hg38	1440247	3.036961947642041	H3K4m3_Naive
H3K4m3_H9_Pr-EZH2i_rep1.hg38	1078181	8903185.25292885	IN_H9_Pr-EZH2i_rep1.hg38	529691	8.257597984873458	H3K4m3_Naive
H3K4m3_H9_Pr-EZH2i_rep2.hg38	1261943	11797927.462784173	IN_H9_Pr-EZH2i_rep2.hg38	467854	9.34901771536763	H3K4m3_Naive
H3K4m3_H9_Pr-EZH2i_rep3.hg38	1017902	10056963.855557764	IN_H9_Pr-EZH2i_rep3.hg38	442706	9.880090475858937	H3K4m3_Naive
H2Aub_H9_Ni_pooled.hg38	26726957	20639857.253333334	IN_H9_Ni_pooled.hg38	3626996	0.7722486796133706	H2Aub_Naive
H2Aub_H9_Ni_rep1.hg38	9520131	21211740.855446026	IN_H9_Ni_rep1.hg38	1257103	2.228093379749294	H2Aub_Naive
H2Aub_H9_Ni_rep2.hg38	5668347	20519233.814449567	IN_H9_Ni_rep2.hg38	773748	3.619967834440899	H2Aub_Naive
H2Aub_H9_Ni_rep3.hg38	11539541	20249519.855500314	IN_H9_Ni_rep3.hg38	1596166	1.7547942206280402	H2Aub_Naive
H2Aub_H9_Ni-EZH2i_pooled.hg38	15857866	19889439.402597375	IN_H9_Ni-EZH2i_pooled.hg38	2233194	1.254231773846328	H2Aub_Naive
H2Aub_H9_Ni-EZH2i_rep1.hg38	5661638	18003184.00587476	IN_H9_Ni-EZH2i_rep1.hg38	880840	3.1798543117512565	H2Aub_Naive
H2Aub_H9_Ni-EZH2i_rep2.hg38	2666418	22412939.39407895	IN_H9_Ni-EZH2i_rep2.hg38	333222	8.405636098345777	H2Aub_Naive
H2Aub_H9_Ni-EZH2i_rep3.hg38	7530283	20695775.352467746	IN_H9_Ni-EZH2i_rep3.hg38	1019140	2.748339651042032	H2Aub_Naive
H2Aub_H9_Pr_pooled.hg38	23596920	10020548.635395689	IN_H9_Pr_pooled.hg38	6595809	0.42465493951734756	H2Aub_Naive
H2Aub_H9_Pr_rep1.hg38	6702444	9608863.205805408	IN_H9_Pr_rep1.hg38	1953734	1.4336357313549217	H2Aub_Naive
H2Aub_H9_Pr_rep2.hg38	9122417	10307119.103261668	IN_H9_Pr_rep2.hg38	2479002	1.1298671287731823	H2Aub_Naive
H2Aub_H9_Pr_rep3.hg38	7773414	10065292.538533682	IN_H9_Pr_rep3.hg38	2163165	1.29483551738447	H2Aub_Naive
H2Aub_H9_Pr-EZH2i_pooled.hg38	5715272	11114864.582067927	IN_H9_Pr-EZH2i_pooled.hg38	1440247	1.944765635313232	H2Aub_Naive
H2Aub_H9_Pr-EZH2i_rep1.hg38	1955164	10338674.188005123	IN_H9_Pr-EZH2i_rep1.hg38	529691	5.287880805909439	H2Aub_Naive
H2Aub_H9_Pr-EZH2i_rep2.hg38	1869959	11195048.737240711	IN_H9_Pr-EZH2i_rep2.hg38	467854	5.986788339873073	H2Aub_Naive
H2Aub_H9_Pr-EZH2i_rep3.hg38	1890223	11959193.320782809	IN_H9_Pr-EZH2i_rep3.hg38	442706	6.326869010049506	H2Aub_Naive
H3_H9_Ni_pooled.hg38	22130763	20639857.253333334	IN_H9_Ni_pooled.hg38	3626996	0.9326319771863868	H3_Naive
H3_H9_Ni_rep1.hg38	7937199	21357665.71972131	IN_H9_Ni_rep1.hg38	1257103	2.6908315792159563	H3_Naive
H3_H9_Ni_rep2.hg38	5243593	22923810.73949859	IN_H9_Ni_rep2.hg38	773748	4.371775372249255	H3_Naive
H3_H9_Ni_rep3.hg38	8950648	18968535.47362603	IN_H9_Ni_rep3.hg38	1596166	2.1192360009717763	H3_Naive
H3_H9_Ni-EZH2i_pooled.hg38	8212304	12439300.057100324	IN_H9_Ni-EZH2i_pooled.hg38	2233194	1.5147150004554537	H3_Naive
H3_H9_Ni-EZH2i_rep1.hg38	3125405	12002360.113942126	IN_H9_Ni-EZH2i_rep1.hg38	880840	3.840257539084415	H3_Naive
H3_H9_Ni-EZH2i_rep2.hg38	1310267	13300976.16200871	IN_H9_Ni-EZH2i_rep2.hg38	333222	10.151347902380744	H3_Naive
H3_H9_Ni-EZH2i_rep3.hg38	3776749	12535499.794563245	IN_H9_Ni-EZH2i_rep3.hg38	1019140	3.319124409528736	H3_Naive
H3_H9_Pr_pooled.hg38	19889240	10200172.022734405	IN_H9_Pr_pooled.hg38	6595809	0.5128487575560657	H3_Naive
H3_H9_Pr_rep1.hg38	5243878	9079136.037973443	IN_H9_Pr_rep1.hg38	1953734	1.7313781971993711	H3_Naive
H3_H9_Pr_rep2.hg38	8222110	11219248.932291273	IN_H9_Pr_rep2.hg38	2479002	1.3645218724015213	H3_Naive
H3_H9_Pr_rep3.hg38	6424348	10046083.635101274	IN_H9_Pr_rep3.hg38	2163165	1.5637514709821563	H3_Naive
H3_H9_Pr-EZH2i_pooled.hg38	3865863	9079602.978603866	IN_H9_Pr-EZH2i_pooled.hg38	1440247	2.3486613412332167	H3_Naive
H3_H9_Pr-EZH2i_rep1.hg38	1338404	8547163.479581445	IN_H9_Pr-EZH2i_rep1.hg38	529691	6.3860863233982	H3_Naive
H3_H9_Pr-EZH2i_rep2.hg38	1449594	10480775.405702043	IN_H9_Pr-EZH2i_rep2.hg38	467854	7.230145410164531	H3_Naive
H3_H9_Pr-EZH2i_rep3.hg38	1077919	8236223.017161101	IN_H9_Pr-EZH2i_rep3.hg38	442706	7.640855219326407	H3_Naive
